,fips,ratio_living_wage_2014,ratio_living_wage_2024,ratio_living_wage_change,living_wage_increase
0,01001,0.606227647925658,0.5783802983660905,-0.02784734955956747,0
1,01003,0.5784901110656508,0.5678670360110804,-0.010623075054570497,0
2,01005,0.6257851909626035,0.5979001908917371,-0.027885000070866472,0
3,01007,0.6534202436140135,0.6318136769078295,-0.021606566706183994,0
4,01009,0.575046267392528,0.5397936624907885,-0.035252604901739426,0
5,01011,0.6026141112932871,0.6083104567007737,0.005696345407486536,1
6,01013,0.5881281951564292,0.5581542351453855,-0.029973960011043688,0
7,01015,0.6795354406895623,0.6356150283067421,-0.043920412382820184,0
8,01017,0.6076373764071198,0.6254676976802195,0.017830321273099692,1
9,01019,0.5948882893536296,0.5793094146209873,-0.0155788747326423,0
10,01021,0.6142028442027734,0.5650938735177866,-0.049108970684986764,0
11,01023,0.8771264826503135,0.7621794871794871,-0.11494699547082632,0
12,01025,0.7078784352211209,0.6425964546402502,-0.06528198058087076,0
13,01027,0.5668821848223711,0.5708766320277111,0.003994447205340035,1
14,01029,0.7378159952372938,0.681935817805383,-0.05588017743191076,0
15,01031,0.5844070326583155,0.5680661577608143,-0.016340874897501245,0
16,01033,0.7561648223439804,0.6866847157272951,-0.06948010661668536,0
17,01035,0.6209629383999737,0.5932093983991739,-0.02775354000079988,0
18,01037,0.6499489257157189,0.6408925791385574,-0.00905634657716159,0
19,01039,0.6161342996876877,0.5929032258064516,-0.02323107388123613,0
20,01041,0.6412432209915747,0.5909322465613857,-0.05031097443018906,0
21,01043,0.6616751086368631,0.6195571037571536,-0.042118004879709514,0
22,01045,0.9277203781586988,0.8194223635400105,-0.10829801461868827,0
23,01047,0.6451061319614035,0.6302687038988408,-0.014837428062562719,0
24,01049,0.6124435727339561,0.6565040650406504,0.04406049230669429,1
25,01051,0.5831946825789385,0.5592583616093069,-0.023936320969631608,0
26,01053,0.6789066029474051,0.6503422854133756,-0.02856431753402955,0
27,01055,0.631033135443839,0.5852733455401518,-0.04575978990368723,0
28,01057,0.5900596506413436,0.5605352039490776,-0.02952444669226595,0
29,01059,0.6045455667782015,0.5984008253804487,-0.006144741397752784,0
30,01061,0.5460729251248577,0.5402374670184696,-0.005835458106388081,0
31,01063,0.5552934519128847,0.4879773691654879,-0.06731608274739681,0
32,01065,0.5968228041661336,0.5773460410557184,-0.01947676311041524,0
33,01067,0.6798723306898624,0.6946222791293214,0.014749948439458982,1
34,01069,0.699507027995891,0.6623326467559216,-0.03717438123996941,0
35,01071,0.6244479712743828,0.6483756483756483,0.023927677101265532,1
